country,country_code,year,epiweek,month,age,type
Denmark,DNK,2021,19,05,0-5 months,cases
Denmark,DNK,2022,19,05,0-5 months,cases
Denmark,DNK,2023,19,05,0-5 months,cases
Denmark,DNK,2024,19,05,0-5 months,cases
Denmark,DNK,2016,20,05,0-5 months,cases
Denmark,DNK,2017,20,05,0-5 months,cases
Denmark,DNK,2018,20,05,0-5 months,cases
Denmark,DNK,2019,20,05,0-5 months,cases
Denmark,DNK,2020,20,05,0-5 months,cases
Denmark,DNK,2021,20,05,0-5 months,cases
Denmark,DNK,2022,20,05,0-5 months,cases
Denmark,DNK,2023,20,05,0-5 months,cases
Denmark,DNK,2024,20,05,0-5 months,cases
Denmark,DNK,2016,21,05,6-11 months,cases
Denmark,DNK,2017,21,05,6-11 months,cases
Denmark,DNK,2018,21,05,6-11 months,cases
Denmark,DNK,2019,21,05,6-11 months,cases
Denmark,DNK,2020,21,05,6-11 months,cases
Denmark,DNK,2021,21,05,6-11 months,cases
Denmark,DNK,2022,21,05,6-11 months,cases
Denmark,DNK,2023,21,05,6-11 months,cases
Denmark,DNK,2024,21,05,6-11 months,cases
Denmark,DNK,2016,22,05,6-11 months,cases
Denmark,DNK,2017,22,05,6-11 months,cases
Denmark,DNK,2018,22,05,6-11 months,cases
Denmark,DNK,2019,22,05,6-11 months,cases
Denmark,DNK,2020,22,05,6-11 months,cases
Denmark,DNK,2021,22,05,6-11 months,cases
Denmark,DNK,2022,22,05,6-11 months,cases
Denmark,DNK,2023,22,05,6-11 months,cases
Denmark,DNK,2024,22,05,6-11 months,cases
Denmark,DNK,2016,23,06,6-11 months,cases
Denmark,DNK,2017,23,06,6-11 months,cases
Denmark,DNK,2018,23,06,6-11 months,cases
Denmark,DNK,2019,23,06,6-11 months,cases
Denmark,DNK,2020,23,06,6-11 months,cases
Denmark,DNK,2021,23,06,6-11 months,cases
Denmark,DNK,2022,23,06,6-11 months,cases
Denmark,DNK,2023,23,06,6-11 months,cases
Denmark,DNK,2024,23,06,6-11 months,cases
Denmark,DNK,2016,24,06,6-11 months,cases
Denmark,DNK,2017,24,06,6-11 months,cases
Denmark,DNK,2018,24,06,6-11 months,cases
Denmark,DNK,2019,24,06,6-11 months,cases
Denmark,DNK,2020,24,06,6-11 months,cases
Denmark,DNK,2021,24,06,6-11 months,cases
Denmark,DNK,2022,24,06,6-11 months,cases
