year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2018,W05,92,44,1,4,10,32,5.6,0.1,0.35,0.93,4.68,2.16
2018,W06,85,53,0,5,6,21,4.25,0.05,0.28,0.54,2.79,1.48
2018,W07,52,32,0,3,5,12,3.49,0.05,0.21,0.34,1.59,1.07
2018,W08,29,21,1,1,2,4,2.11,0.05,0.09,0.23,1.2,0.69
2018,W09,25,11,0,0,2,12,1.98,0.05,0.05,0.21,1.16,0.63
2018,W10,44,28,0,1,4,11,1.81,0.05,0.07,0.21,1.63,0.68
2018,W11,36,16,1,2,2,15,1.71,0.05,0.09,0.23,1.46,0.65
2018,W12,20,8,0,1,3,8,1.38,0.05,0.07,0.13,1.25,0.52
2019,W45,89,76,2,2,0,9,9.91,0.16,0.23,0.1,0.94,2.2
2018,W44,33,30,0,0,1,2,4.54,0,0.07,0.13,0.34,1
